"Items Description",Duration,"Andhra Pradesh ","Arunachal Pradesh",Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,"Himachal Pradesh","Jammu & Kashmir",Jharkhand,Karnataka,Kerala,"Madhya Pradesh",Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Telangana,Tripura,"Uttar Pradesh",Uttarakhand,"West Bengal1","Andaman & Nicobar Islands",Chandigarh,Delhi,Puducherry,"All_India GDP"
"GSDP - CONSTANT PRICES (` in Crore)",2011-12,379402,11063,143175,247144,158074,42367,615606,297539,72720,78254,150918,603778,364048,315561,1272967,12915,19918,7259,11839,227872,266628,436465,11165,751485,359433,19208,724049,115524,NA,3979,18768,343767,16818,8736039
"GSDP - CONSTANT PRICES (` in Crore)",2012-13,380629,11299,147342,256851,165937,35850,682650,320570,77384,80515,163250,641212,387693,351461,1357116,12985,20354,7778,12442,238370,280823,454987,11421,787907,369290,20873,754928,123891,NA,4156,20265,366538,17310,9215125
"GSDP - CONSTANT PRICES (` in Crore)",2013-14,407115,12348,154525,269650,182229,31568,734284,346799,82847,85530,165816,708623,402781,364197,1441843,14116,20726,9038,13826,259179,298581,482605,12114,842182,389882,22819,803233,134089,NA,4502,21893,391718,19170,9817822
"GSDP - CONSTANT PRICES (` in Crore)",2014-15,441741,13541,166709,304766,196023,34611,791569,366636,89032,85267,186491,760282,432237,383994,1524846,15030,21152,9634,14115,274721,313276,512095,12882,900628,423972,25086,853872,140791,NA,4839,23920,422920,20428,10522686
"GSDP - CONSTANT PRICES (` in Crore)",2015-16,490134,13963,179595,326535,209012,37520,864314,399646,NA,95965,209137,815545,467243,414607,NA,NA,22507,NA,NA,291227,NA,NA,13722,979816,464389,NA,914748,153041,NA,NA,26379,460217,22007,11357529
"GSDP - CONSTANT PRICES (` in Crore)",2016-17,547021,NA,NA,NA,223932,NA,NA,434608,NA,NA,NA,NA,NA,465212,NA,NA,24005,NA,NA,314364,NA,NA,NA,1057592,511286,NA,NA,NA,NA,NA,NA,498217,23656,12165481
"(% Growth over previous year)",2012-13,0.32,2.14,2.91,3.93,4.97,-15.38,10.89,7.74,6.41,2.89,8.17,6.2,6.5,11.38,6.61,0.54,2.19,7.15,5.09,4.61,5.32,4.24,2.29,4.85,2.74,8.67,4.26,7.24,NA,4.45,7.98,6.62,2.93,5.48
"(% Growth over previous year)",2013-14,6.96,9.29,4.88,4.98,9.82,-11.94,7.56,8.18,7.06,6.23,1.57,10.51,3.89,3.62,6.24,8.71,1.83,16.21,11.13,8.73,6.32,6.07,6.07,6.89,5.58,9.32,6.4,8.23,NA,8.32,8.04,6.87,10.74,6.54
"(% Growth over previous year)",2014-15,8.51,9.66,7.88,13.02,7.57,9.64,7.8,5.72,7.47,-0.31,12.47,7.29,7.31,5.44,5.76,6.48,2.06,6.59,2.09,6,4.92,6.11,6.34,6.94,8.74,9.94,6.3,5,NA,7.5,9.26,7.97,6.56,7.18
"(% Growth over previous year)",2015-16,10.96,3.12,NA,7.14,NA,NA,NA,NA,NA,NA,12.14,7.27,NA,7.97,NA,NA,6.41,NA,NA,6.01,NA,NA,6.51,8.79,9.53,NA,7.13,8.7,NA,NA,10.28,8.82,7.73,7.93
"(% Growth over previous year)",2016-17,11.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.21,NA,NA,6.65,NA,NA,7.94,NA,NA,NA,7.94,10.1,NA,NA,NA,NA,NA,NA,8.26,7.49,7.11
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
