States and Union Territories,Region
Andhra Pradesh,south
Arunachal Pradesh,ne
Assam,ne
Bihar,east
Chhattisgarh,central
Goa,west
Gujarat,west
Haryana,north
Himachal Pradesh,north
Jammu & Kashmir,north
Jharkhand,east
Karnataka,south
Kerala,south
Madhya Pradesh,central
Maharashtra,west
Manipur,ne
Meghalaya,ne
Mizoram,ne
Nagaland,ne
Odisha,east
Punjab,north
Rajasthan,west
Sikkim,ne
Tamil Nadu,south
Telangana,south
Tripura,ne
Uttar Pradesh,north
Uttarakhand,north
West Bengal,east
A & N Islands,east
Chandigarh,north
D & N Haveli,west
Daman & Diu,west
Lakshadweep,west
NCT of Delhi,north
Puducherry,south
